Unnamed: 0,target_role,Company,Package(P/A),Experince,Skills,Job_Description,Rating,Reviews,Location,Link-of-job
148,Data Science Manager,Technovert,Not disclosed,8-12 Yrs ,"['data mining', 'data', 'data science', 'simulation', 'data analysis', 'information technology', 'text mining', 'rf']",Must have developed custom data models and algorithms to apply to data sets Should have...,3.8,45.0,Hyderabad/Secunderabad,https://www.naukri.com/job-listings-data-science-manager-technovert-hyderabad-secunderabad-8-to-12-years-280323500301
149,Data Science Manager,Technovert,Not disclosed,9-12 Yrs ,"['science', 'data', 'management', 'data science', 'Data Science Manager']",Must have developed custom data models and algorithms to apply to data sets Should have...,3.8,45.0,Hyderabad/Secunderabad,https://www.naukri.com/job-listings-data-science-manager-technovert-hyderabad-secunderabad-9-to-12-years-280323500214
150,Data Science Manager,SPM Jobs,Not disclosed,10-15 Yrs ,"['pdf', 'nosql', 'analytics', 'management', 'sql', 'software services', 'intelligence', 'science']","To be successful in this role, you should possess 5+ years data science and analytics e...",,,Pune,https://www.naukri.com/job-listings-data-science-manager-spm-jobs-pune-10-to-15-years-250223500920
156,Data Science Manager,Contrado,Not disclosed,6-11 Yrs ,"['sql', 'gcp', 'management', 'research', 'operations research', 'operations', 'python', 'data']","Bachelors or masters degree in economics, mathematics, computer science / engineering, ...",3.5,12.0,Ahmedabad,https://www.naukri.com/job-listings-data-science-manager-contrado-imaging-ltd-ahmedabad-6-to-11-years-191122500606
158,Data Science Manager,Nissan Technical Centre,Not disclosed,2-7 Yrs ,"['Django', 'Python', 'Source', 'Management', 'Agile', 'Data mining', 'Machine', 'Automotive']",- Overall years of experience: 8+ years of experience in Statistical and Machine learni...,,,Trivandrum/Thiruvananthapuram,https://www.naukri.com/job-listings-data-science-manager-nissan-technical-centre-europe-trivandrum-thiruvananthapuram-2-to-7-years-060423500638
159,Data Science Manager,Seven Consultancy (HR Solution),Not disclosed,3-8 Yrs ,"['infrastructure', 'apache', 'management', 'programming', 'machine learning', 'oops', 'python', 'data']",JOB DETAILS 1.Python Programming 2.Strong OOPS Concepts 3.Strong knowledge in CS fundam...,4.0,3.0,Chennai,https://www.naukri.com/job-listings-data-science-manager-seven-consultancy-hr-solution-chennai-3-to-8-years-280322501321
164,Data Science Manager,Digilytics,Not disclosed,7-10 Yrs ,"['HTML', 'Machine', 'Python', 'Financial services', 'Science', 'HTTP', 'Machine learning', 'Data Science']","Must know how to deploy modelsExperience with deep learning, ML, NLP Strong R and Pytho...",4.2,7.0,Gurgaon/Gurugram,https://www.naukri.com/job-listings-data-science-manager-digilytics-gurgaon-gurugram-7-to-10-years-140722501225
167,Data Science Manager,Xcel Hires Managment Solutions Pvt Ltd,Not disclosed,10-13 Yrs ,"['Intelligence', 'Data Visualization', 'Management', 'Business intelligence', 'SQL', 'Science', 'Cloud Storage', 'Analytics']",5+ years data science and analytics experienceSolid experience with common data science...,,,Pune,https://www.naukri.com/job-listings-data-science-manager-xcel-hires-managment-solutions-pvt-ltd-pune-10-to-13-years-020523501585
171,Data Science Manager,Talent Socio,Not disclosed,8-9 Yrs ,"['IT services', 'Analysis', 'Management', 'Licensing', 'Data Science', 'Information technology', 'Simulation', 'Data analysis']",. Must have developed custom data models and algorithms to apply to data sets . Should ...,3.6,9.0,Hyderabad/Secunderabad,https://www.naukri.com/job-listings-data-science-manager-talent-socio-hyderabad-secunderabad-8-to-9-years-130423501956
173,Data Scientist,Rockwell Automation,Not disclosed,3-7 Yrs ,"['Software testing', 'Data analytics', 'Test scenarios', 'Management', 'Relationship', 'Science', 'Change', 'Relationship building']","The DAI Data Scientist is a multi-skilled engineer who helps to estimate work, accept s...",4.0,362.0,"Pune, Bangalore/Bengaluru",https://www.naukri.com/job-listings-data-scientist-rockwell-automation-pune-bangalore-bengaluru-3-to-7-years-010723500454
179,Senior Data Scientist,Grid Dynamics,Not disclosed,6-9 Yrs ,"['Analytics', 'Azure Databricks', 'Gurobi', 'Deep Learning', 'Factory', 'Azure Data Factory', 'Devops', 'Demand forecasting']",The Data Scientist will have access to the vast amount of data stored in heterogeneous ...,4.4,3.0,Hyderabad/Secunderabad,https://www.naukri.com/job-listings-senior-data-scientist-grid-dynamics-hyderabad-secunderabad-6-to-9-years-300623004325
186,Senior Data Scientist,Tvarit Gmbh,Not disclosed,3-8 Yrs ,"['Senior', 'Development', 'German', 'Data analytics', 'JIRA', 'Data Science', 'Acquisition', 'Analytics']",". Qualification and Experience . A Masters / PhD degree in mechanical engineering, meta...",3.4,3.0,Pune,https://www.naukri.com/job-listings-senior-data-scientist-tvarit-gmbh-pune-3-to-8-years-290623501799
191,Data Science Manager,Era It Solution,8-15 Lacs PA,4-9 Yrs ,"['Data', 'Machine', 'Machine learning', 'Science', 'Data Science', 'Management']","Data Science developing data science models, R/Python, Statistics, data analysis, advan...",,,"New Delhi, Delhi",https://www.naukri.com/job-listings-data-science-manager-era-it-solution-new-delhi-delhi-4-to-9-years-090623004167
203,Data Analyst,Maruti Suzuki,Not disclosed,2-5 Yrs ,"['Science', 'Power Bi', 'Deep Learning', 'SQL', 'Spark', 'Data Transformation', 'ETL', 'Networking']",Job description Responsibilities: Architect a data-based solution for the business prob...,4.2,6408.0,"Gurgaon/Gurugram, Bangalore/Bengaluru",https://www.naukri.com/job-listings-data-analyst-maruti-suzuki-india-limited-gurgaon-gurugram-bangalore-bengaluru-2-to-5-years-050623005345
204,Data Analyst,Montbleu Technologies,"50,000-3 Lacs PA",0-1 Yrs ,"['data analysis', 'Reporting', 'Data analytics', 'Data Reporting', 'Data management', 'Analytics', 'Analysis', 'Data']",Good with Reports and dashboards Good Communication skills . .,,,"Coimbatore, Tamil Nadu",https://www.naukri.com/job-listings-data-analyst-montbleu-technologies-coimbatore-tamil-nadu-0-to-1-years-220623009144
208,Senior Data Analyst,Seven Consultancy (HR Solution),Not disclosed,5-10 Yrs ,"['Analysis', 'Analytics', 'Big Data Analytics', 'Big Data', 'Procurement', 'Data', 'Senior', 'Recruitment']",Assist the data scientist in development of new analytical tools and methods as and whe...,4.0,3.0,Bangalore/Bengaluru,https://www.naukri.com/job-listings-senior-data-analyst-seven-consultancy-hr-solution-bangalore-bengaluru-5-to-10-years-280322501565
215,Data Analyst,Eaton Technologies,Not disclosed,2-3 Yrs ,"['Analytics', 'Documentation', 'Data analysis', 'System', 'Business analysis', 'Data validation', 'Cleansing', 'Excel']","Experience in Product lifecycle Management, product development and management exposure...",4.0,732.0,Pune,https://www.naukri.com/job-listings-data-analyst-eaton-corporation-pune-2-to-3-years-030723002974
217,Senior Data Scientist,Fractal Analytics,Not disclosed,5-10 Yrs ,"['Data Science', 'regression', 'Time Series', 'Analysis', 'Data', 'Senior', 'Time', 'Machine learning']",Responsibilities: Work closely with senior leadership across Fractal CPG practice and c...,4.1,449.0,"Hybrid - Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)",https://www.naukri.com/job-listings-senior-data-scientist-fractal-analytics-gurgaon-gurugram-haryana-bangalore-bengaluru-karnataka-mumbai-all-areas-5-to-10-years-190623004278
219,Data Scientist,Sdna Global,Not disclosed,6-10 Yrs ,"['Data Science', 'python', 'Natural Language Processing', 'Data Modeling', 'Machine Learning', 'Analytics', 'Coding', 'Deep Learning']",Should be self driven Good analytical understanding for developing analytical solutions...,,,"Mumbai, Maharashtra, Mumbai Suburban, Maharashtra, Mumbai (All Areas)",https://www.naukri.com/job-listings-data-scientist-sdna-global-mumbai-maharashtra-mumbai-suburban-maharashtra-mumbai-all-areas-6-to-10-years-230623007721
220,Data Scientist,Oprable Inc,Not disclosed,0-1 Yrs ,"['Healthcare', 'Analytics', 'Data quality', 'Data', 'Machine', 'SQL', 'Data analytics', 'Machine learning']",G: B Tech /BE /MCA in Any Specialization . P.G: Any Postgraduate . Should have basic un...,,,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",https://www.naukri.com/job-listings-data-scientist-oprable-inc-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-0-to-1-years-220623500972
226,Sr. Data Scientist,Vantageiq Technologies Opc,Not disclosed,6-8 Yrs ,"['Machine Learning', 'Statistics', 'Data Science', 'Advanced Analytics', 'Credit Risk', 'Python', 'Modeling', 'Risk']",What You'll Do? Lead and mentor a team of data scientists/analystsProvide analytical in...,,,"Chennai, Bangalore/Bengaluru",https://www.naukri.com/job-listings-sr-data-scientist-vantageiq-technologies-opc-chennai-bangalore-bengaluru-6-to-8-years-130122009499
227,Senior Data Scientist,AMERICAN EXPRESS GLOBAL BUSINESS TRAVEL,Not disclosed,2-7 Yrs ,"['GCP', 'Data Science', 'Deep Learning', 'Data', 'Machine', 'Data quality', 'Python', 'Senior']","Experience . 2+ years in an analytic role, preferably with direct experience in big dat...",4.0,143.0,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",https://www.naukri.com/job-listings-senior-data-scientist-american-express-global-business-travel-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-7-years-280623500700
231,Data Scientist,Getwork,8-12 Lacs PA,1-3 Yrs ,"['Power Bi', 'Model Building', 'Python', 'Management', 'Data Science', 'Data management', 'Science', 'Data Visualizations']",Build predictive models and machine-learning algorithms Experience as a Data Scientist ...,3.1,10.0,Gurgaon/Gurugram,https://www.naukri.com/job-listings-data-scientist-getwork-gurgaon-gurugram-1-to-3-years-050423007114
240,Data Analyst,Seven Consultancy (HR Solution),Not disclosed,2-3 Yrs ,"['Big Data', 'Recruitment', 'Data mining', 'Data collection', 'Data analytics', 'Big Data Testing', 'Data Science', 'Analytical']",Assist the data scientist in development of new analytical tools and methods as and whe...,4.0,3.0,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-seven-consultancy-hr-solution-bangalore-bengaluru-2-to-3-years-280322501314
241,Data Analyst,Talent Zone Consultant,Not disclosed,10-12 Yrs ,"['data analytics', 'r', 'data', 'business intelligence', 'data science', 'c', 'hadoop', 'analysis']",graduate degree in Data Science or other quantitative field is preferred Proven experie...,4.4,2.0,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-talent-zone-consultant-bangalore-bengaluru-10-to-12-years-071021501340
242,Data Analyst,Xpheno,Not disclosed,2-5 Yrs ,"['python', 'data science', 'science', 'microsoft', 'oracle', 'bioinformatics', 'automation', 'analytics']",Bachelor s degree with 5+ years of experience or Master s degree with 2+ years experien...,3.4,94.0,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-xpheno-bangalore-bengaluru-2-to-5-years-100123500225
244,Senior Data Analyst,Experis,5-14 Lacs PA,5-8 Yrs ,"['Data Visualization', 'Power Bi', 'Bi', 'Reporting', 'Senior', 'Tableau', 'Data analytics', 'Data Reporting']","Role & responsibilities Data Analytics, Data visualizationPreferred candidate profile D...",,,Mumbai (All Areas),https://www.naukri.com/job-listings-senior-data-analyst-experis-mumbai-all-areas-5-to-8-years-030723002015
245,Data Scientist,Bajaj Markets,Not disclosed,1-3 Yrs ,"['Data Science', 'analytical', 'Machine', 'Power Bi', 'SQL', 'Science', 'Analytics', 'Statistics']",BE / B-tech in IT / Computer Science or Graduation in Statistics/ Mathematics and certi...,4.0,6059.0,"Pune, Maharashtra",https://www.naukri.com/job-listings-data-scientist-bajaj-markets-pune-maharashtra-1-to-3-years-270623008065
246,Lead Data Scientist,DXC Technology,Not disclosed,5-10 Yrs ,"['Analytics', 'Data', 'AWS', 'Machine', 'Machine learning', 'Monitoring', 'Science', 'GCP']","Participate in conceptualizing, designing and developing ML based Analytics Solutions ....",3.9,6931.0,Bangalore/Bengaluru,https://www.naukri.com/job-listings-lead-data-scientist-dxc-technology-bangalore-bengaluru-5-to-10-years-220623500620
247,Data Scientist,Ford,Not disclosed,2-7 Yrs ,"['Data Science', 'Mathematics', 'Data', 'Science', 'Statistics', 'Programming', 'Predictive', 'Statistical modeling']","Masters in Data Science, Computer Science, Electrical Engineering, Applied math, Mechan...",4.5,2445.0,"Hybrid - Chennai, Tamil Nadu",https://www.naukri.com/job-listings-data-scientist-ford-chennai-tamil-nadu-2-to-7-years-080623007578
252,Data Analyst,Rozzgar Hr Management,Not disclosed,2-6 Yrs ,"['Statistics', 'Data Science', 'multiple machine learning frameworks', 'AWS Data', 'Python', 'Computer', 'Django', 'Keras']","Creating, improving, deploying and maintaining Statistical and ML models. Working Produ...",,,"Hybrid - Pune, Bangalore/Bengaluru, Mumbai (All Areas)",https://www.naukri.com/job-listings-data-analyst-rozzgar-hr-management-pune-bangalore-bengaluru-mumbai-all-areas-2-to-6-years-040723003722
254,Data Scientist,Wesource Business Solutions,10-12 Lacs PA,3-5 Yrs ,"['data analysis', 'data science', 'data mining', 'statistical modeling', 'machine learning', 'Natural language processing', 'Machine', 'Python']",Role We are looking for a highly skilled and experienced Data Scientist to join our tea...,3.5,18.0,Hybrid - Bangalore/Bengaluru(Kalyan nagar),https://www.naukri.com/job-listings-data-scientist-wesource-business-solutions-bangalore-bengaluru-3-to-5-years-040723005509
256,Data Scientist,Sagality India,Not disclosed,7-10 Yrs ,"['Pyspark', 'python', 'NLP', 'data science', 'artificial intelligence', 'Natural language processing', 'R', 'Data']",Shift Timing - 2 PM to 11 PM Good with MS Excel and MS PowerPoint Bachelors / Masters w...,4.0,428.0,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-scientist-sagality-india-bangalore-bengaluru-7-to-10-years-030723003713
258,Data Scientist,Seven Consultancy (HR Solution),Not disclosed,3-5 Yrs ,"['Consulting', 'Programming', 'Management', 'Data Science', 'Science', 'Program', 'Data', 'Big Data Analytics']",JOB DETAILS 1.Python Programming 2.Strong OOPS Concepts 3.Strong knowledge in CS fundam...,4.0,3.0,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-scientist-seven-consultancy-hr-solution-bangalore-bengaluru-3-to-5-years-290322500311
259,Data Scientist,Xpheno,Not disclosed,3-7 Yrs ,"['gcp', 'deep learning', 'machine learning', 'python', 'big data', 'object', 'data science', 'oops']","Experience building models which have been deployed to production, edge deployment pref...",3.4,94.0,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-scientist-xpheno-bangalore-bengaluru-3-to-7-years-100123500167
262,Sr. Data Scientist,World Wide Technology,Not disclosed,2-7 Yrs ,"['Data Science', 'Natural Language Processing', 'Machine Learning', 'Deep Learning', 'Machine', 'Process', 'Science', 'SR']",Preferably a PhD but also open to masters or bachelors degree in a quantitative discipl...,4.3,21.0,"Hybrid - Gurgaon/ Gurugram, Haryana",https://www.naukri.com/job-listings-sr-data-scientist-world-wide-technology-gurgaon-gurugram-haryana-2-to-7-years-290523004939
263,Senior Data Scientist,Legalzoom,Not disclosed,3-8 Yrs ,"['Data modeling', 'Data', 'SQL', 'Intellectual property', 'Science', 'Web technologies', 'Analytics', 'Senior']","Bayesian inference) . Ability and experience in extracting insights from data, and summ...",,,Bangalore/Bengaluru,https://www.naukri.com/job-listings-senior-data-scientist-legalzoom-bangalore-bengaluru-3-to-8-years-290623501353
275,Data Analyst,Cloudaeon Pvt Ltd,Not disclosed,3-8 Yrs ,"['azure data lake', 'Power Platform', 'Data Analytics', 'Powerapps', 'Data analysis', 'Power Bi', 'Data Bricks', 'Data Visualization']",Previous experience in performing and maintaining data qualityOur deep vertical knowled...,4.5,7.0,"Hybrid - Pune, Maharashtra",https://www.naukri.com/job-listings-data-analyst-cloudaeon-pvt-ltd-pune-maharashtra-3-to-8-years-110623001154
277,Data Analyst,G R Infraprojects,Not disclosed,3-8 Yrs ,"['Data Analytics', 'Data analysis', 'Power Bi', 'Analysis', 'Data', 'Data Visualization', 'Bi', 'SQL']",Role & responsibilities Collect and analyse large datasets from multiple sources.Identi...,4.1,1202.0,"Gurgaon/ Gurugram, Haryana",https://www.naukri.com/job-listings-data-analyst-g-r-infraprojects-gurgaon-gurugram-haryana-3-to-8-years-030723004247
279,Data Analyst,Seven Consultancy (HR Solution),Not disclosed,3-8 Yrs ,"['analysis', 'management', 'data analytics', 'big data analytics', 'data', 'big data testing', 'science', 'consultancy']",Assist the data scientist in development of new analytical tools and methods as and whe...,4.0,3.0,Chennai,https://www.naukri.com/job-listings-data-analyst-seven-consultancy-hr-solution-chennai-3-to-8-years-280322501502
280,Data Analyst,Seven Consultancy (HR Solution),Not disclosed,2-7 Yrs ,"['Data mining', 'Science', 'Recruitment', 'Big Data Testing', 'Consultancy', 'Data Science', 'Analysis', 'Data collection']",Assist the data scientist in development of new analytical tools and methods as and whe...,4.0,3.0,Mumbai,https://www.naukri.com/job-listings-data-analyst-seven-consultancy-hr-solution-mumbai-2-to-7-years-280322501501
281,Data Analyst,Seven Consultancy (HR Solution),Not disclosed,1-3 Yrs ,"['analysis', 'management', 'data analytics', 'big data analytics', 'data', 'big data testing', 'science', 'consultancy']",Assist the data scientist in development of new analytical tools and methods as and whe...,4.0,3.0,New Delhi,https://www.naukri.com/job-listings-data-analyst-seven-consultancy-hr-solution-new-delhi-1-to-3-years-280322501312
282,Data Analyst,Seven Consultancy (HR Solution),Not disclosed,2-4 Yrs ,"['analysis', 'management', 'research', 'data analytics', 'big data analytics', 'data', 'big data testing', 'science']",Assist the data scientist in development of new analytical tools and methods as and whe...,4.0,3.0,New Delhi,https://www.naukri.com/job-listings-data-analyst-seven-consultancy-hr-solution-new-delhi-2-to-4-years-280322501311
283,Data Analyst,Mensa Brand Technologies,6-9 Lacs PA,1-2 Yrs ,"['Data Collection', 'Data Analytics', 'Data Reporting', 'Warehouse', 'Analytics', 'Analysis', 'Cleansing', 'Data']",Bachelors degree in Engineering or a related fieldWe are a team of passionate digital-f...,3.0,28.0,"Bangalore/ Bengaluru, Karnataka",https://www.naukri.com/job-listings-data-analyst-mensa-brand-technologies-bangalore-bengaluru-karnataka-1-to-2-years-270623006488
284,Data Analyst,Skidos,Not disclosed,2-3 Yrs ,"['accessories', 'sql', 'data analytics', 'programming', 'data', 'io', 'science', 'analytics']",Collaborate with team members to collect and analyse data. Help the team visualize data...,5.0,6.0,New Delhi,https://www.naukri.com/job-listings-data-analyst-skidos-new-delhi-2-to-3-years-161122501272
286,Data Analyst,Selective Global Search,3-4 Lacs PA,2-5 Yrs ,"['Power Bi', 'Data analytics', 'Data analysis', 'Data extraction', 'Cleansing', 'Dashboards', 'Views', 'Analytics']",Role & responsibilities Monitor and download data from the VIEW and BI portals.Compile ...,,,"Pune, Maharashtra",https://www.naukri.com/job-listings-data-analyst-selective-global-search-pune-maharashtra-2-to-5-years-040723008520
291,Sr. Data Analyst,Mspire Ventures Private Limited,Not disclosed,4-6 Yrs ,"['Data Analysis', 'Machine', 'Python', 'R', 'Tableau', 'Data interpretation', 'Logic', 'Machine learning']",Knowledge in machine learning PreferredMust have experience of 5+ years in Data Analyti...,,,Ahmedabad,https://www.naukri.com/job-listings-sr-data-analyst-mspire-ventures-private-limited-ahmedabad-4-to-6-years-290623907152
293,Senior Data Analyst,Luminar Technologies,Not disclosed,0-4 Yrs ,"['Analytics', 'Power Bi', 'Interpersonal', 'Internal audit', 'Data', 'SQL queries', 'Query', 'Data analysis']","Positive attitude and willingness to learn . Ability to take direction, learn quickly, ...",,,New Delhi,https://www.naukri.com/job-listings-senior-data-analyst-luminar-technologies-new-delhi-0-to-4-years-141122500495
297,Data Analyst,Jobwaala.com,1.75-3.5 Lacs PA,0-5 Yrs ,"['Data Analytics', 'Computer', 'Science', 'Data analysis', 'Data', 'Analytics', 'Computer science']",Computer science background any customer Service Experience will work Salary upto 30k,,,"Bangalore/ Bengaluru, Karnataka",https://www.naukri.com/job-listings-data-analyst-jobwaala-com-bangalore-bengaluru-karnataka-0-to-5-years-090623009114
299,Data Analyst,Vision Unlimited,3-4.75 Lacs PA,1-6 Yrs ,"['Excel', 'communication skills', 'Reporting', 'Data analysis', 'Advanced Excel', 'Analysis', 'Data', 'KPO']",problem-solving analytical skills across cross functional teams and Exceptional communi...,,,"Mohali, Chandigarh",https://www.naukri.com/job-listings-data-analyst-vision-unlimited-mohali-chandigarh-1-to-6-years-101222004076
300,Data Analyst,Kutumbh Care,2.5-4.5 Lacs PA,1-3 Yrs ,"['MIS Reporting', 'Data analytics', 'Reporting', 'Data analysis', 'Analytics', 'Data', 'MIS']",Company-Handover Location- Noida Ctc-35k-40k Experience-Minimum 2 years in MIS/Data Ana...,,,"Noida, Uttar Pradesh, Ghaziabad, Uttar Pradesh",https://www.naukri.com/job-listings-data-analyst-kutumbh-care-noida-uttar-pradesh-ghaziabad-uttar-pradesh-1-to-3-years-030723002534
301,Sr. Data Scientist,Zeta Inc.,Not disclosed,3-7 Yrs ,"['Analysis', 'Prototype', 'Analytical', 'Data Science', 'SR', 'Data analysis', 'NoSQL', 'Technical documentation']","Master / Bachelors degree in Machine Learning / Data Science, Applied Statistics, Mathe...",3.3,150.0,Bangalore/Bengaluru,https://www.naukri.com/job-listings-sr-data-scientist-zeta-inc-bangalore-bengaluru-3-to-7-years-150623502172
302,Sr. Data Scientist,Visa Inc,Not disclosed,6-8 Yrs ,"['Logistics', 'Quality', 'Portfolio management', 'SQL', 'SR', 'Control', 'Consulting', 'Logistic regression']","A successful candidate should have accumulated a variety of industry experience, be cur...",4.3,13.0,Bangalore/Bengaluru,https://www.naukri.com/job-listings-sr-data-scientist-visa-inc-bangalore-bengaluru-6-to-8-years-030723501247
303,Senior Data Scientist,Walmart,Not disclosed,1-6 Yrs ,"['GCP', 'Data Science', 'Information technology', 'Monitoring', 'SEZ', 'Data', 'Machine', 'Python']","Demonstrates up-to-date expertise and applies this to the development, execution, and i...",4.1,1734.0,Bangalore/Bengaluru,https://www.naukri.com/job-listings-senior-data-scientist-walmart-labs-bangalore-bengaluru-1-to-6-years-010623501582
304,Sr. Data Scientist,Accolite Software India Pvt Ltd,Not disclosed,6-8 Yrs ,"['machine', 'research', 'analytics', 'business rules', 'sql', 'data', 'machine learning', 'python']","Experience in technologies like Python, Jupyter, Machine Learning Algorithms, SQL, Data...",3.6,451.0,"Hyderabad/Secunderabad, Bangalore/Bengaluru",https://www.naukri.com/job-listings-sr-data-scientist-accolite-software-india-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-6-to-8-years-181022502086
310,Data Scientist,Detrix Network,7-12 Lacs PA,1-3 Yrs ,"['Data Science', 'Ml Algorithms', 'Data', 'Algorithms', 'Ml', 'Natural language processing', 'Modeling', 'Science']","Requirements: - Bachelors or masters degree in a quantitative field (e.g., Computer Sci...",3.9,2.0,"Hyderabad/ Secunderabad, Telangana(Gachibowli +1)",https://www.naukri.com/job-listings-data-scientist-detrix-network-pvt-ltd-hyderabad-secunderabad-telangana-1-to-3-years-020723000858
311,Data Scientist,Arcadix,Not disclosed,3-7 Yrs ,"['Data Science', 'python', 'data mining', 'machine learning', 'artificial intelligence', 'Intelligence', 'Machine', 'Science']","Bachelors or Masters degree in Computer Science, Statistics, Mathematics, or a related ...",4.7,3.0,Remote,https://www.naukri.com/job-listings-data-scientist-arcadix-infotech-private-limited-bangalore-bengaluru-karnataka-3-to-7-years-010623000070
