skills,experience,interest,education,work_type,communication,target_role,job_link
"Cloud Security, IAM",4.0,Security,Graduate,Onsite,7.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"React, JavaScript, UI",1.0,Frontend,Graduate,Remote,7.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"React Native, Mobile Dev",4.0,Mobile,Graduate,Remote,6.0,Mobile Developer,https://www.dewii.in/android-developer
"HTML, CSS, JavaScript",2.0,Web,Graduate,Remote,8.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Scala, Spark",5.0,Data,Post Graduate,Hybrid,7.0,Big Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL, Tableau",4.0,Analytics,Graduate,Hybrid,6.0,BI Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Python, ML, TensorFlow",3.0,AI,Post Graduate,Remote,6.0,AI/ML Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"JavaScript, Vue.js",3.0,Frontend,Graduate,Remote,6.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Flutter, Dart",2.0,Mobile,Graduate,Remote,8.0,Mobile Developer,https://www.dewii.in/android-developer
"AWS, CloudFormation",5.0,Cloud,Post Graduate,Hybrid,6.0,Cloud Engineer,https://www.google.com/about/careers/applications/jobs/results/142499060689838790-cloud-engineer/?src=online
"C++, Embedded Systems",4.0,Hardware,Post Graduate,Onsite,6.0,Firmware Engineer,https://careers.synopsys.com/job/-/-/44408/77911761744?Indeed_org
"Cloud Security, IAM",3.0,Security,Graduate,Onsite,6.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Cybersecurity, Ethical Hacking",5.0,Security,Graduate,Onsite,6.0,Security Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"React Native, Mobile Dev",3.0,Mobile,Graduate,Remote,8.0,Mobile Developer,https://www.dewii.in/android-developer
"Excel, VBA",5.0,Data,Graduate,Hybrid,8.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Machine Learning, R",3.0,AI,Post Graduate,Remote,6.0,Data Scientist,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Unity, C#",3.0,Game Dev,Graduate,Onsite,6.0,Game Developer,https://www.desirousgc.com/job/171
"Python, NLP, Spacy",5.0,AI,Post Graduate,Remote,6.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"JavaScript, Vue.js",3.0,Frontend,Graduate,Remote,7.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Adobe XD, Prototyping",5.0,Design,Graduate,Remote,9.0,UI Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Business Analysis, UML",6.0,Management,Post Graduate,Onsite,9.0,Business Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"JavaScript, Vue.js",2.0,Frontend,Graduate,Remote,8.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"TensorFlow, PyTorch",4.0,AI,Post Graduate,Remote,8.0,AI Researcher,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Machine Learning, R",5.0,AI,Post Graduate,Remote,7.0,Data Scientist,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Communication, Negotiation",5.0,Sales,Graduate,Onsite,10.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Salesforce, CRM",6.0,Sales,Graduate,Hybrid,9.0,Salesforce Admin,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Linux, Networking, Security",5.0,DevOps,Graduate,Onsite,4.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Linux, Networking, Security",5.0,DevOps,Graduate,Onsite,5.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Leadership, Agile, Scrum",6.0,Management,Post Graduate,Onsite,8.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Python, Data Engineering",5.0,Data,Post Graduate,Hybrid,6.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
Marketing Automation,4.0,Marketing,Graduate,Remote,8.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"Business Analysis, UML",6.0,Management,Post Graduate,Onsite,8.0,Business Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"HTML, CSS, JavaScript",0.0,Web,Graduate,Remote,9.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Python, NLP, Spacy",3.0,AI,Post Graduate,Remote,5.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Google Ads, Analytics",3.0,Marketing,Graduate,Hybrid,6.0,Marketing Analyst,https://www.position2.com/career/junior-marketing-automation-analyst/
"Project Management, JIRA",7.0,Management,Post Graduate,Onsite,7.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Leadership, Agile, Scrum",6.0,Management,Post Graduate,Onsite,8.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Go, Microservices",4.0,Backend,Graduate,Onsite,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"UX Research, Wireframing",2.0,Design,Graduate,Remote,8.0,UX Researcher,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"SQL, Tableau",2.0,Analytics,Graduate,Hybrid,6.0,BI Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Communication, CRM",6.0,Sales,Graduate,Onsite,8.0,Sales Executive,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Machine Learning, R",5.0,AI,Post Graduate,Remote,6.0,Data Scientist,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"JavaScript, Angular",3.0,Frontend,Graduate,Remote,6.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Python, Django, REST",3.0,Backend,Graduate,Hybrid,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Python, Django, REST",5.0,Backend,Graduate,Hybrid,7.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Communication, CRM",5.0,Sales,Graduate,Onsite,8.0,Sales Executive,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Photoshop, Illustrator",3.0,Design,Graduate,Remote,7.0,Graphic Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Python, Django, REST",5.0,Backend,Graduate,Hybrid,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Communication, Negotiation",6.0,Sales,Graduate,Onsite,9.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"React Native, Mobile Dev",4.0,Mobile,Graduate,Remote,6.0,Mobile Developer,https://www.dewii.in/android-developer
"Cybersecurity, Ethical Hacking",5.0,Security,Graduate,Onsite,8.0,Security Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Cybersecurity, Ethical Hacking",3.0,Security,Graduate,Onsite,8.0,Security Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"React Native, Mobile Dev",2.0,Mobile,Graduate,Remote,6.0,Mobile Developer,https://www.dewii.in/android-developer
"Kotlin, Android Studio",3.0,Mobile,Graduate,Remote,9.0,Android Developer,https://www.dewii.in/android-developer
"Photoshop, Illustrator",2.0,Design,Graduate,Remote,7.0,Graphic Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Excel, VBA",7.0,Data,Graduate,Hybrid,7.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Docker, Kubernetes",3.0,DevOps,Graduate,Remote,6.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Docker, Kubernetes",2.0,DevOps,Graduate,Remote,5.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Python, SQL, Pandas",2.0,Data,Graduate,Remote,7.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Unity, C#",4.0,Game Dev,Graduate,Onsite,8.0,Game Developer,https://www.desirousgc.com/job/171
"React Native, Mobile Dev",4.0,Mobile,Graduate,Remote,7.0,Mobile Developer,https://www.dewii.in/android-developer
"Google Cloud, BigQuery",6.0,Cloud,Graduate,Hybrid,7.0,Cloud Engineer,https://www.google.com/about/careers/applications/jobs/results/142499060689838790-cloud-engineer/?src=online
"Flutter, Dart",4.0,Mobile,Graduate,Remote,8.0,Mobile Developer,https://www.dewii.in/android-developer
"Python, SQL, Pandas",3.0,Data,Graduate,Remote,6.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Project Management, JIRA",7.0,Management,Post Graduate,Onsite,8.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Python, NLP, Spacy",4.0,AI,Post Graduate,Remote,7.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Linux, Networking, Security",6.0,DevOps,Graduate,Onsite,5.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"PHP, Laravel",2.0,Backend,Graduate,Remote,5.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Java, Spring Boot",5.0,Backend,Post Graduate,Onsite,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Communication, Negotiation",6.0,Sales,Graduate,Onsite,8.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Linux, Networking, Security",5.0,DevOps,Graduate,Onsite,5.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Business Analysis, UML",5.0,Management,Post Graduate,Onsite,9.0,Business Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Data Visualization, PowerBI",2.0,Data,Graduate,Remote,7.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Adobe XD, Prototyping",4.0,Design,Graduate,Remote,7.0,UI Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Python, ML, TensorFlow",3.0,AI,Post Graduate,Remote,7.0,AI/ML Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Python, NLP, Spacy",5.0,AI,Post Graduate,Remote,5.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Business Analysis, UML",5.0,Management,Post Graduate,Onsite,8.0,Business Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Go, Microservices",5.0,Backend,Graduate,Onsite,5.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Java, Spring Boot",3.0,Backend,Post Graduate,Onsite,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Communication, CRM",4.0,Sales,Graduate,Onsite,9.0,Sales Executive,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Python, ML, TensorFlow",2.0,AI,Post Graduate,Remote,7.0,AI/ML Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Ruby on Rails, PostgreSQL",3.0,Backend,Graduate,Remote,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Google Ads, Analytics",5.0,Marketing,Graduate,Hybrid,7.0,Marketing Analyst,https://www.position2.com/career/junior-marketing-automation-analyst/
"C++, Embedded Systems",5.0,Hardware,Post Graduate,Onsite,4.0,Firmware Engineer,https://careers.synopsys.com/job/-/-/44408/77911761744?Indeed_org
"Leadership, Agile, Scrum",7.0,Management,Post Graduate,Onsite,8.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"SQL, Tableau",4.0,Analytics,Graduate,Hybrid,5.0,BI Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"AutoCAD, SolidWorks",7.0,Design,Graduate,Onsite,6.0,Mechanical Designer,https://www.desirousgc.com/job/350
"Project Management, JIRA",6.0,Management,Post Graduate,Onsite,7.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Photoshop, Figma",4.0,Design,Graduate,Remote,7.0,UI/UX Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Google Ads, Analytics",4.0,Marketing,Graduate,Hybrid,7.0,Marketing Analyst,https://www.position2.com/career/junior-marketing-automation-analyst/
"Communication, Negotiation",5.0,Sales,Graduate,Onsite,9.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Cloud Security, IAM",4.0,Security,Graduate,Onsite,8.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Swift, iOS Development",3.0,Mobile,Post Graduate,Onsite,8.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"Business Analysis, UML",5.0,Management,Post Graduate,Onsite,9.0,Business Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Communication, CRM",5.0,Sales,Graduate,Onsite,10.0,Sales Executive,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Communication, Negotiation",5.0,Sales,Graduate,Onsite,8.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"SQL Server, SSIS",4.0,Data,Graduate,Hybrid,5.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL Server, SSIS",2.0,Data,Graduate,Hybrid,7.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL, Tableau",4.0,Analytics,Graduate,Hybrid,6.0,BI Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL, Tableau",3.0,Analytics,Graduate,Hybrid,6.0,BI Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Social Media, Branding",4.0,Marketing,Graduate,Remote,10.0,Brand Manager,https://www.amazon.jobs/en/jobs/2948380/sbs-assistant-brand-manager-india-consumables
Marketing Automation,3.0,Marketing,Graduate,Remote,7.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"AutoCAD, SolidWorks",6.0,Design,Graduate,Onsite,6.0,Mechanical Designer,https://www.desirousgc.com/job/350
"C++, Embedded Systems",5.0,Hardware,Post Graduate,Onsite,6.0,Firmware Engineer,https://careers.synopsys.com/job/-/-/44408/77911761744?Indeed_org
"TensorFlow, PyTorch",5.0,AI,Post Graduate,Remote,7.0,AI Researcher,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Cloud Security, IAM",5.0,Security,Graduate,Onsite,8.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Linux, Networking, Security",5.0,DevOps,Graduate,Onsite,6.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Flutter, Dart",4.0,Mobile,Graduate,Remote,6.0,Mobile Developer,https://www.dewii.in/android-developer
"JavaScript, Angular",2.0,Frontend,Graduate,Remote,6.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Social Media, Branding",3.0,Marketing,Graduate,Remote,10.0,Brand Manager,https://www.amazon.jobs/en/jobs/2948380/sbs-assistant-brand-manager-india-consumables
"Python, ML, TensorFlow",3.0,AI,Post Graduate,Remote,6.0,AI/ML Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Linux, Networking, Security",6.0,DevOps,Graduate,Onsite,6.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Ruby on Rails, PostgreSQL",2.0,Backend,Graduate,Remote,5.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Flutter, Dart",4.0,Mobile,Graduate,Remote,6.0,Mobile Developer,https://www.dewii.in/android-developer
"SwiftUI, iOS Dev",4.0,Mobile,Graduate,Remote,6.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"Python, Flask, REST API",2.0,Backend,Graduate,Remote,7.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Cybersecurity, Ethical Hacking",3.0,Security,Graduate,Onsite,6.0,Security Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Python, Flask, REST API",2.0,Backend,Graduate,Remote,8.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Public Speaking, Leadership",7.0,Management,Post Graduate,Onsite,8.0,Team Lead,https://aristocrat.wd3.myworkdayjobs.com/AristocratExternalCareersSite/job/Noida-UP-IN/Technical-Lead_R0018902-1
"SQL, Oracle",5.0,Data,Post Graduate,Onsite,5.0,Database Administrator,https://careers.united.com/us/en/job/GGN00001993/Database-Administrator-II-Information-Technology?src=JB-10440
"Google Ads, Analytics",5.0,Marketing,Graduate,Hybrid,8.0,Marketing Analyst,https://www.position2.com/career/junior-marketing-automation-analyst/
"Communication, CRM",5.0,Sales,Graduate,Onsite,9.0,Sales Executive,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Scala, Spark",6.0,Data,Post Graduate,Hybrid,7.0,Big Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Cloud Security, IAM",5.0,Security,Graduate,Onsite,6.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Python, NLP, Spacy",3.0,AI,Post Graduate,Remote,5.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"SQL, Tableau",2.0,Analytics,Graduate,Hybrid,6.0,BI Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"TensorFlow, PyTorch",5.0,AI,Post Graduate,Remote,6.0,AI Researcher,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"SQL, Oracle",6.0,Data,Post Graduate,Onsite,5.0,Database Administrator,https://careers.united.com/us/en/job/GGN00001993/Database-Administrator-II-Information-Technology?src=JB-10440
"Swift, iOS Development",4.0,Mobile,Post Graduate,Onsite,8.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"Python, NLP, Spacy",3.0,AI,Post Graduate,Remote,7.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Linux Admin, Bash Scripting",5.0,DevOps,Graduate,Onsite,6.0,System Administrator,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/job/India-Hyderabad/Salesforce-Administrator_JR108049
"Docker, Kubernetes",2.0,DevOps,Graduate,Remote,6.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Photoshop, Illustrator",3.0,Design,Graduate,Remote,8.0,Graphic Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"React, JavaScript, UI",3.0,Frontend,Graduate,Remote,8.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Project Management, JIRA",6.0,Management,Post Graduate,Onsite,7.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Cybersecurity, Ethical Hacking",4.0,Security,Graduate,Onsite,7.0,Security Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"SQL Server, SSIS",2.0,Data,Graduate,Hybrid,7.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL Server, SSIS",4.0,Data,Graduate,Hybrid,5.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL, Oracle",5.0,Data,Post Graduate,Onsite,7.0,Database Administrator,https://careers.united.com/us/en/job/GGN00001993/Database-Administrator-II-Information-Technology?src=JB-10440
"Scala, Spark",5.0,Data,Post Graduate,Hybrid,6.0,Big Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL, Oracle",5.0,Data,Post Graduate,Onsite,5.0,Database Administrator,https://careers.united.com/us/en/job/GGN00001993/Database-Administrator-II-Information-Technology?src=JB-10440
"SQL Server, SSIS",3.0,Data,Graduate,Hybrid,7.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Communication, Negotiation",4.0,Sales,Graduate,Onsite,10.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Business Analysis, UML",6.0,Management,Post Graduate,Onsite,7.0,Business Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Python, Data Engineering",4.0,Data,Post Graduate,Hybrid,6.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Adobe XD, Prototyping",5.0,Design,Graduate,Remote,7.0,UI Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Data Visualization, PowerBI",4.0,Data,Graduate,Remote,5.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Data Visualization, PowerBI",4.0,Data,Graduate,Remote,5.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Python, Data Engineering",5.0,Data,Post Graduate,Hybrid,6.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"PHP, WordPress",3.0,Web,Graduate,Remote,8.0,Web Developer,https://5d.solutions/careers/jobopenings/1204_full_stack_web_developer/
"Unity, C#",3.0,Game Dev,Graduate,Onsite,8.0,Game Developer,https://www.desirousgc.com/job/171
